symbol,source,published_at,headline,summary
CYIENT,NSE_CORP_ANN,,Press Release,"Cyient Limited has informed the Exchange regarding a press release dated December 17, 2025, titled ""Cyient Semiconductors Acquires Majority Stake in Kinetic Technologies to Drive Custom Power IC Leadership for Edge AI and High-Performance Compute Markets""."
CYIENT,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Cyient Limited has informed the Exchange about Schedule of meet
CYIENT,NSE_CORP_ANN,,Acquisition,Cyient Limited has informed the Exchange about Acquisition
CYIENT,NSE_CORP_ANN,,Outcome of Board Meeting,"Cyient Limited has informed the Exchange regarding  Board meeting held on December 17, 2025."
CYIENT,NSE_CORP_ANN,,Shareholders meeting,"Cyient Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
CYIENT,NSE_CORP_ANN,,Trading Window,"Cyient Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
CYIENT,NSE_CORP_ANN,,Press Release,"Cyient Limited has informed the Exchange regarding a press release dated December 11, 2025, titled ""Cyient Strengthens Middle East Operations; to Drive Intelligent Engineering for Energy, Utilities, Transportation & Connectivity Sectors""."
DLF,NSE_CORP_ANN,,Updates,DLF Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI Listing Regulations'.
DABUR,NSE_CORP_ANN,,Action(s) taken or orders passed,"Dabur India Limited has informed the Exchange about update on Action(s) taken or orders passed on February 5, 2025"
DABUR,NSE_CORP_ANN,,Updates,Dabur India Limited has informed the Exchange regarding 'Report on Special Window for Re-lodgement of Transfer Request of Physical Shares'.
DABUR,NSE_CORP_ANN,,Trading Window,"Dabur India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
DALBHARAT,NSE_CORP_ANN,,General Updates,Dalmia Bharat Limited has informed the Exchange about General Updates. Pls find schedule of Analysts Meetings to be attended by Company management
DELHIVERY,NSE_CORP_ANN,,Press Release,"Delhivery Limited has informed the Exchange regarding a press release dated December 15, 2025, titled ""Delhivery launches On-demand Intracity offering in Mumbai and Hyderabad via the Delhivery Direct App""."
DRREDDY,NSE_CORP_ANN,,Copy of Newspaper Publication,Dr. Reddy's Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
DRREDDY,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Dr. Reddy's Laboratories Limited has informed the Exchange about Schedule of meet
DRREDDY,NSE_CORP_ANN,,General Updates,Dr. Reddy's Laboratories Limited has informed the Exchange about General Updates
DRREDDY,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Dr. Reddy's Laboratories Limited has informed the Exchange about Schedule of meet
DRREDDY,NSE_CORP_ANN,,Press Release,"Dr. Reddy's Laboratories Limited has informed the Exchange regarding a press release dated December 12, 2025, titled ""Dr. Reddy s Laboratories announces Science-Based Net Zero Climate Targets""."
ETERNAL,NSE_CORP_ANN,,General Updates,"Eternal Limited has informed the exchange about incorporation of Eternal General Service Foundation, a wholly owned subsidiary of the Company"
NYKAA,NSE_CORP_ANN,,ESOP/ESOS/ESPS,FSN E Commerce Ventures Limited has informed the Exchange regarding Allotment of 259450 Equity Shares pursuant to exercise of vested stock options by employees under Employees Stock Option schemes of the Company.
FORTIS,NSE_CORP_ANN,,Updates,"Fortis Healthcare Limited has informed the Exchange regarding 'status of re-lodgement of transfer requests of physical shares for the month ended on November 30, 2025'."
FORTIS,NSE_CORP_ANN,,Copy of Newspaper Publication,"Newspaper clippings   Special Window for re-lodgement of transfer requests of physical shares.The newspaper clippings of the advertisement on the captioned subject published today i.e., December 17, 2025 in the columns of English daily  Financial Express , all editions and Punjabi daily  Rozana Spokesman , Mohali edition are enclosed for information and records."
GAIL,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,GAIL (India) Limited has informed the Exchange about Schedule of meet
GAIL,NSE_CORP_ANN,,Action(s) taken or orders passed,GAIL (India) Limited has informed the Exchange about Action(s) taken or orders passed
GMRAIRPORT,NSE_CORP_ANN,,Copy of Newspaper Publication,GMR AIRPORTS LIMITED has informed the Exchange about Intimation regarding Newspaper Publication for Notice of Postal Ballot
GMRAIRPORT,NSE_CORP_ANN,,Shareholders meeting,GMR AIRPORTS LIMITED has informed the Exchange regarding Notice of Postal Ballot
GMRAIRPORT,NSE_CORP_ANN,,Resignation,GMR AIRPORTS LIMITED has informed the Exchange regarding Intimation regarding Resignation of Alternate Director of the Company
